Message,Category,processed_text
I've been searching for the right words to thank you for this breather. I promise i wont take your help for granted and will fulfil my promise. You have been wonderful and a blessing at all times.,ham,ive search right word thank breather promis wont take help grant fulfil promis wonder bless time
I HAVE A DATE ON SUNDAY WITH WILL!!,ham,date sunday
"XXXMobileMovieClub: To use your credit, click the WAP link in the next txt message or click here>> http://wap. xxxmobilemovieclub.com?n=QJKGIGHJJGCBL",spam,xxxmobilemovieclub use credit click wap link next txt messag click httpwap xxxmobilemovieclubcomnqjkgighjjgcbl
Oh k...i'm watching here:),ham,oh kim watch
Eh u remember how 2 spell his name... Yes i did. He v naughty make until i v wet.,ham,eh u rememb 2 spell name ye v naughti make v wet
Fine if thats the way u feel. Thats the way its gota b,ham,fine that way u feel that way gota b
"England v Macedonia - dont miss the goals/team news. Txt ur national team to 87077 eg ENGLAND to 87077 Try:WALES, SCOTLAND 4txt/ú1.20 POBOXox36504W45WQ 16+",spam,england v macedonia dont miss goalsteam news txt ur nation team 87077 eg england 87077 trywal scotland 4txtú120 poboxox36504w45wq 16
Is that seriously how you spell his name?,ham,serious spell name
I‘m going to try for 2 months ha ha only joking,ham,i‘m go tri 2 month ha ha joke
So ü pay first lar... Then when is da stock comin...,ham,ü pay first lar da stock comin
Aft i finish my lunch then i go str down lor. Ard 3 smth lor. U finish ur lunch already?,ham,aft finish lunch go str lor ard 3 smth lor u finish ur lunch alreadi
Ffffffffff. Alright no way I can meet up with you sooner?,ham,ffffffffff alright way meet sooner
Just forced myself to eat a slice. I'm really not hungry tho. This sucks. Mark is getting worried. He knows I'm sick when I turn down pizza. Lol,ham,forc eat slice im realli hungri tho suck mark get worri know im sick turn pizza lol
Lol your always so convincing.,ham,lol alway convinc
Did you catch the bus ? Are you frying an egg ? Did you make a tea? Are you eating your mom's left over dinner ? Do you feel my Love ?,ham,catch bu fri egg make tea eat mom left dinner feel love
"I'm back &amp; we're packing the car now, I'll let you know if there's room",ham,im back amp pack car ill let know there room
Ahhh. Work. I vaguely remember that! What does it feel like? Lol,ham,ahhh work vagu rememb feel like lol
"Wait that's still not all that clear, were you not sure about me being sarcastic or that that's why x doesn't want to live with us",ham,wait that still clear sure sarcast that x doesnt want live us
Yeah he got in at 2 and was v apologetic. n had fallen out and she was actin like spoilt child and he got caught up in that. Till 2! But we won't go there! Not doing too badly cheers. You?,ham,yeah got 2 v apologet n fallen actin like spoilt child got caught till 2 wont go badli cheer
K tell me anything about you.,ham,k tell anyth
For fear of fainting with the of all that housework you just did? Quick have a cuppa,ham,fear faint housework quick cuppa
Thanks for your subscription to Ringtone UK your mobile will be charged £5/month Please confirm by replying YES or NO. If you reply NO you will not be charged,spam,thank subscript rington uk mobil charg £5month pleas confirm repli ye repli charg
Yup... Ok i go home look at the timings then i msg ü again... Xuhui going to learn on 2nd may too but her lesson is at 8am,ham,yup ok go home look time msg ü xuhui go learn 2nd may lesson 8am
"Oops, I'll let you know when my roommate's done",ham,oop ill let know roommat done
I see the letter B on my car,ham,see letter b car
Anything lor... U decide...,ham,anyth lor u decid
Hello! How's you and how did saturday go? I was just texting to see if you'd decided to do anything tomo. Not that i'm trying to invite myself or anything!,ham,hello how saturday go text see youd decid anyth tomo im tri invit anyth
Pls go ahead with watts. I just wanted to be sure. Do have a great weekend. Abiola,ham,pl go ahead watt want sure great weekend abiola
"Did I forget to tell you ? I want you , I need you, I crave you ... But most of all ... I love you my sweet Arabian steed ... Mmmmmm ... Yummy",ham,forget tell want need crave love sweet arabian steed mmmmmm yummi
07732584351 - Rodger Burns - MSG = We tried to call you re your reply to our sms for a free nokia mobile + free camcorder. Please call now 08000930705 for delivery tomorrow,spam,07732584351 rodger burn msg tri call repli sm free nokia mobil free camcord pleas call 08000930705 deliveri tomorrow
WHO ARE YOU SEEING?,ham,see
Great! I hope you like your man well endowed. I am  &lt;#&gt;  inches...,ham,great hope like man well endow ltgt inch
No calls..messages..missed calls,ham,callsmessagesmiss call
Didn't you get hep b immunisation in nigeria.,ham,didnt get hep b immunis nigeria
"Fair enough, anything going on?",ham,fair enough anyth go
"Yeah hopefully, if tyler can't do it I could maybe ask around a bit",ham,yeah hope tyler cant could mayb ask around bit
U don't know how stubborn I am. I didn't even want to go to the hospital. I kept telling Mark I'm not a weak sucker. Hospitals are for weak suckers.,ham,u dont know stubborn didnt even want go hospit kept tell mark im weak sucker hospit weak sucker
What you thinked about me. First time you saw me in class.,ham,think first time saw class
"A gram usually runs like  &lt;#&gt; , a half eighth is smarter though and gets you almost a whole second gram for  &lt;#&gt;",ham,gram usual run like ltgt half eighth smarter though get almost whole second gram ltgt
K fyi x has a ride early tomorrow morning but he's crashing at our place tonight,ham,k fyi x ride earli tomorrow morn he crash place tonight
"Wow. I never realized that you were so embarassed by your accomodations. I thought you liked it, since i was doing the best i could and you always seemed so happy about ""the cave"". I'm sorry I didn't and don't have more to give. I'm sorry i offered. I'm sorry your room was so embarassing.",ham,wow never realiz embarass accomod thought like sinc best could alway seem happi cave im sorri didnt dont give im sorri offer im sorri room embarass
SMS. ac Sptv: The New Jersey Devils and the Detroit Red Wings play Ice Hockey. Correct or Incorrect? End? Reply END SPTV,spam,sm ac sptv new jersey devil detroit red wing play ice hockey correct incorrect end repli end sptv
Do you know what Mallika Sherawat did yesterday? Find out now @  &lt;URL&gt;,ham,know mallika sherawat yesterday find lturlgt
"Congrats! 1 year special cinema pass for 2 is yours. call 09061209465 now! C Suprman V, Matrix3, StarWars3, etc all 4 FREE! bx420-ip4-5we. 150pm. Dont miss out!",spam,congrat 1 year special cinema pass 2 call 09061209465 c suprman v matrix3 starwars3 etc 4 free bx420ip45w 150pm dont miss
"Sorry, I'll call later in meeting.",ham,sorri ill call later meet
Tell where you reached,ham,tell reach
Yes..gauti and sehwag out of odi series.,ham,yesgauti sehwag odi seri
Your gonna have to pick up a $1 burger for yourself on your way home. I can't even move. Pain is killing me.,ham,gonna pick 1 burger way home cant even move pain kill
Ha ha ha good joke. Girls are situation seekers.,ham,ha ha ha good joke girl situat seeker
Its a part of checking IQ,ham,part check iq
"Sorry my roommates took forever, it ok if I come by now?",ham,sorri roommat took forev ok come
Ok lar i double check wif da hair dresser already he said wun cut v short. He said will cut until i look nice.,ham,ok lar doubl check wif da hair dresser alreadi said wun cut v short said cut look nice
"As a valued customer, I am pleased to advise you that following recent review of your Mob No. you are awarded with a £1500 Bonus Prize, call 09066364589",spam,valu custom pleas advis follow recent review mob award £1500 bonu prize call 09066364589
"Today is ""song dedicated day.."" Which song will u dedicate for me? Send this to all ur valuable frnds but first rply me...",ham,today song dedic day song u dedic send ur valuabl frnd first rpli
"Urgent UR awarded a complimentary trip to EuroDisinc Trav, Aco&Entry41 Or £1000. To claim txt DIS to 87121 18+6*£1.50(moreFrmMob. ShrAcomOrSglSuplt)10, LS1 3AJ",spam,urgent ur award complimentari trip eurodisinc trav acoentry41 £1000 claim txt di 87121 186£150morefrmmob shracomorsglsuplt10 ls1 3aj
"Did you hear about the new ""Divorce Barbie""? It comes with all of Ken's stuff!",spam,hear new divorc barbi come ken stuff
I plane to give on this month end.,ham,plane give month end
Wah lucky man... Then can save money... Hee...,ham,wah lucki man save money hee
Finished class where are you.,ham,finish class
HI BABE IM AT HOME NOW WANNA DO SOMETHING? XX,ham,hi babe im home wanna someth xx
K..k:)where are you?how did you performed?,ham,kkwhere youhow perform
U can call me now...,ham,u call
I am waiting machan. Call me once you free.,ham,wait machan call free
Thats cool. i am a gentleman and will treat you with dignity and respect.,ham,that cool gentleman treat digniti respect
I like you peoples very much:) but am very shy pa.,ham,like peopl much shi pa
Does not operate after  &lt;#&gt;  or what,ham,oper ltgt
Its not the same here. Still looking for a job. How much do Ta's earn there.,ham,still look job much ta earn
"Sorry, I'll call later",ham,sorri ill call later
K. Did you call me just now ah?,ham,k call ah
Ok i am on the way to home hi hi,ham,ok way home hi hi
You will be in the place of that man,ham,place man
Yup next stop.,ham,yup next stop
"I call you later, don't have network. If urgnt, sms me.",ham,call later dont network urgnt sm
For real when u getting on yo? I only need 2 more tickets and one more jacket and I'm done. I already used all my multis.,ham,real u get yo need 2 ticket one jacket im done alreadi use multi
Yes I started to send requests to make it but pain came back so I'm back in bed. Double coins at the factory too. I gotta cash in all my nitros.,ham,ye start send request make pain came back im back bed doubl coin factori gotta cash nitro
I'm really not up to it still tonight babe,ham,im realli still tonight babe
"Ela kano.,il download, come wen ur free..",ham,ela kanoil download come wen ur free
Yeah do! Don‘t stand to close tho- you‘ll catch something!,ham,yeah don‘t stand close tho you‘ll catch someth
Sorry to be a pain. Is it ok if we meet another night? I spent late afternoon in casualty and that means i haven't done any of y stuff42moro and that includes all my time sheets and that. Sorry.,ham,sorri pain ok meet anoth night spent late afternoon casualti mean havent done stuff42moro includ time sheet sorri
Smile in Pleasure Smile in Pain Smile when trouble pours like Rain Smile when sum1 Hurts U Smile becoz SOMEONE still Loves to see u Smiling!!,ham,smile pleasur smile pain smile troubl pour like rain smile sum1 hurt u smile becoz someon still love see u smile
Please call our customer service representative on 0800 169 6031 between 10am-9pm as you have WON a guaranteed £1000 cash or £5000 prize!,spam,pleas call custom servic repres 0800 169 6031 10am9pm guarante £1000 cash £5000 prize
Havent planning to buy later. I check already lido only got 530 show in e afternoon. U finish work already?,ham,havent plan buy later check alreadi lido got 530 show e afternoon u finish work alreadi
"Your free ringtone is waiting to be collected. Simply text the password ""MIX"" to 85069 to verify. Get Usher and Britney. FML, PO Box 5249, MK17 92H. 450Ppw 16",spam,free rington wait collect simpli text password mix 85069 verifi get usher britney fml po box 5249 mk17 92h 450ppw 16
Watching telugu movie..wat abt u?,ham,watch telugu moviewat abt u
i see. When we finish we have loads of loans to pay,ham,see finish load loan pay
"Hi. Wk been ok - on hols now! Yes on for a bit of a run. Forgot that i have hairdressers appointment at four so need to get home n shower beforehand. Does that cause prob for u?""",ham,hi wk ok hol ye bit run forgot hairdress appoint four need get home n shower beforehand caus prob u
I see a cup of coffee animation,ham,see cup coffe anim
Please don't text me anymore. I have nothing else to say.,ham,pleas dont text anymor noth els say
Okay name ur price as long as its legal! Wen can I pick them up? Y u ave x ams xx,ham,okay name ur price long legal wen pick u ave x am xx
I'm still looking for a car to buy. And have not gone 4the driving test yet.,ham,im still look car buy gone 4the drive test yet
As per your request 'Melle Melle (Oru Minnaminunginte Nurungu Vettam)' has been set as your callertune for all Callers. Press *9 to copy your friends Callertune,ham,per request mell mell oru minnaminungint nurungu vettam set callertun caller press 9 copi friend callertun
"wow. You're right! I didn't mean to do that. I guess once i gave up on boston men and changed my search location to nyc, something changed. Cuz on my signin page it still says boston.",ham,wow your right didnt mean guess gave boston men chang search locat nyc someth chang cuz signin page still say boston
Umma my life and vava umma love you lot dear,ham,umma life vava umma love lot dear
Thanks a lot for your wishes on my birthday. Thanks you for making my birthday truly memorable.,ham,thank lot wish birthday thank make birthday truli memor
"Aight, I'll hit you up when I get some cash",ham,aight ill hit get cash
How would my ip address test that considering my computer isn't a minecraft server,ham,would ip address test consid comput isnt minecraft server
I know! Grumpy old people. My mom was like you better not be lying. Then again I am always the one to play jokes...,ham,know grumpi old peopl mom like better lie alway one play joke
Dont worry. I guess he's busy.,ham,dont worri guess he busi
What is the plural of the noun research?,ham,plural noun research
Going for dinner.msg you after.,ham,go dinnermsg
I'm ok wif it cos i like 2 try new things. But i scared u dun like mah. Cos u said not too loud.,ham,im ok wif co like 2 tri new thing scare u dun like mah co u said loud
GENT! We are trying to contact you. Last weekends draw shows that you won a £1000 prize GUARANTEED. Call 09064012160. Claim Code K52. Valid 12hrs only. 150ppm,spam,gent tri contact last weekend draw show £1000 prize guarante call 09064012160 claim code k52 valid 12hr 150ppm
"Wa, ur openin sentence very formal... Anyway, i'm fine too, juz tt i'm eatin too much n puttin on weight...Haha... So anythin special happened?",ham,wa ur openin sentenc formal anyway im fine juz tt im eatin much n puttin weighthaha anythin special happen
"As I entered my cabin my PA said, '' Happy B'day Boss !!''. I felt special. She askd me 4 lunch. After lunch she invited me to her apartment. We went there.",ham,enter cabin pa said happi bday boss felt special askd 4 lunch lunch invit apart went
You are a winner U have been specially selected 2 receive £1000 or a 4* holiday (flights inc) speak to a live operator 2 claim 0871277810910p/min (18+),spam,winner u special select 2 receiv £1000 4 holiday flight inc speak live oper 2 claim 0871277810910pmin 18
Goodo! Yes we must speak friday - egg-potato ratio for tortilla needed!,ham,goodo ye must speak friday eggpotato ratio tortilla need
Hmm...my uncle just informed me that he's paying the school directly. So pls buy food.,ham,hmmmi uncl inform he pay school directli pl buy food
PRIVATE! Your 2004 Account Statement for 07742676969 shows 786 unredeemed Bonus Points. To claim call 08719180248 Identifier Code: 45239 Expires,spam,privat 2004 account statement 07742676969 show 786 unredeem bonu point claim call 08719180248 identifi code 45239 expir
"URGENT! Your Mobile No. was awarded £2000 Bonus Caller Prize on 5/9/03 This is our final try to contact U! Call from Landline 09064019788 BOX42WR29C, 150PPM",spam,urgent mobil award £2000 bonu caller prize 5903 final tri contact u call landlin 09064019788 box42wr29c 150ppm
here is my new address -apples&pairs&all that malarky,ham,new address applespairsal malarki
Todays Voda numbers ending 7548 are selected to receive a $350 award. If you have a match please call 08712300220 quoting claim code 4041 standard rates app,spam,today voda number end 7548 select receiv 350 award match pleas call 08712300220 quot claim code 4041 standard rate app
I am going to sao mu today. Will be done only at 12,ham,go sao mu today done 12
Ü predict wat time ü'll finish buying?,ham,ü predict wat time üll finish buy
"Good stuff, will do.",ham,good stuff
"Just so that you know,yetunde hasn't sent money yet. I just sent her a text not to bother sending. So its over, you dont have to involve yourself in anything. I shouldn't have imposed anything on you in the first place so for that, i apologise.",ham,knowyetund hasnt sent money yet sent text bother send dont involv anyth shouldnt impos anyth first place apologis
Are you there in room.,ham,room
HEY GIRL. HOW R U? HOPE U R WELL ME AN DEL R BAK! AGAIN LONG TIME NO C! GIVE ME A CALL SUM TIME FROM LUCYxx,ham,hey girl r u hope u r well del r bak long time c give call sum time lucyxx
K..k:)how much does it cost?,ham,kkhow much cost
I'm home.,ham,im home
"Dear, will call Tmorrow.pls accomodate.",ham,dear call tmorrowpl accomod
First answer my question.,ham,first answer question
Sunshine Quiz Wkly Q! Win a top Sony DVD player if u know which country the Algarve is in? Txt ansr to 82277. £1.50 SP:Tyrone,spam,sunshin quiz wkli q win top soni dvd player u know countri algarv txt ansr 82277 £150 sptyron
Want 2 get laid tonight? Want real Dogging locations sent direct 2 ur mob? Join the UK's largest Dogging Network bt Txting GRAVEL to 69888! Nt. ec2a. 31p.msg@150p,spam,want 2 get laid tonight want real dog locat sent direct 2 ur mob join uk largest dog network bt txting gravel 69888 nt ec2a 31pmsg150p
I only haf msn. It's yijue@hotmail.com,ham,haf msn yijuehotmailcom
He is there. You call and meet him,ham,call meet
No no. I will check all rooms befor activities,ham,check room befor activ
You'll not rcv any more msgs from the chat svc. For FREE Hardcore services text GO to: 69988 If u get nothing u must Age Verify with yr network & try again,spam,youll rcv msg chat svc free hardcor servic text go 69988 u get noth u must age verifi yr network tri
Got c... I lazy to type... I forgot ü in lect... I saw a pouch but like not v nice...,ham,got c lazi type forgot ü lect saw pouch like v nice
"K, text me when you're on the way",ham,k text your way
"Sir, Waiting for your mail.",ham,sir wait mail
"A swt thought: ""Nver get tired of doing little things 4 lovable persons.."" Coz..somtimes those little things occupy d biggest part in their Hearts.. Gud ni8",ham,swt thought nver get tire littl thing 4 lovabl person cozsomtim littl thing occupi biggest part heart gud ni8
I know you are. Can you pls open the back?,ham,know pl open back
Yes see ya not on the dot,ham,ye see ya dot
Whats the staff name who is taking class for us?,ham,what staff name take class us
"FreeMsg Why haven't you replied to my text? I'm Randy, sexy, female and live local. Luv to hear from u. Netcollex Ltd 08700621170150p per msg reply Stop to end",spam,freemsg havent repli text im randi sexi femal live local luv hear u netcollex ltd 08700621170150p per msg repli stop end
Ummma.will call after check in.our life will begin from qatar so pls pray very hard.,ham,ummmawil call check inour life begin qatar pl pray hard
K..i deleted my contact that why?,ham,ki delet contact
Sindu got job in birla soft ..,ham,sindu got job birla soft
The wine is flowing and i'm i have nevering..,ham,wine flow im never
Yup i thk cine is better cos no need 2 go down 2 plaza mah.,ham,yup thk cine better co need 2 go 2 plaza mah
Ok... Ur typical reply...,ham,ok ur typic repli
As per your request 'Melle Melle (Oru Minnaminunginte Nurungu Vettam)' has been set as your callertune for all Callers. Press *9 to copy your friends Callertune,ham,per request mell mell oru minnaminungint nurungu vettam set callertun caller press 9 copi friend callertun
"You are everywhere dirt, on the floor, the windows, even on my shirt. And sometimes when i open my mouth, you are all that comes flowing out. I dream of my world without you, then half my chores are out too. A time of joy for me, lots of tv shows i.ll see. But i guess like all things you just must exist, like rain, hail and mist, and when my time here is done, you and i become one.",ham,everywher dirt floor window even shirt sometim open mouth come flow dream world without half chore time joy lot tv show ill see guess like thing must exist like rain hail mist time done becom one
Aaooooright are you at work?,ham,aaooooright work
I'm leaving my house now...,ham,im leav hous
"Hello, my love. What are you doing? Did you get to that interview today? Are you you happy? Are you being a good boy? Do you think of me?Are you missing me ?",ham,hello love get interview today happi good boy think mear miss
Customer service annoncement. You have a New Years delivery waiting for you. Please call 07046744435 now to arrange delivery,spam,custom servic annonc new year deliveri wait pleas call 07046744435 arrang deliveri
You are a winner U have been specially selected 2 receive £1000 cash or a 4* holiday (flights inc) speak to a live operator 2 claim 0871277810810,spam,winner u special select 2 receiv £1000 cash 4 holiday flight inc speak live oper 2 claim 0871277810810
Keep yourself safe for me because I need you and I miss you already and I envy everyone that see's you in real life,ham,keep safe need miss alreadi envi everyon see real life
New car and house for my parents.:)i have only new job in hand:),ham,new car hous parentsi new job hand
I'm so in love with you. I'm excited each day i spend with you. You make me so happy.,ham,im love im excit day spend make happi
-PLS STOP bootydelious (32/F) is inviting you to be her friend. Reply YES-434 or NO-434 See her: www.SMS.ac/u/bootydelious STOP? Send STOP FRND to 62468,spam,pl stop bootydeli 32f invit friend repli yes434 no434 see wwwsmsacubootydeli stop send stop frnd 62468
"BangBabes Ur order is on the way. U SHOULD receive a Service Msg 2 download UR content. If U do not, GoTo wap. bangb. tv on UR mobile internet/service menu",spam,bangbab ur order way u receiv servic msg 2 download ur content u goto wap bangb tv ur mobil internetservic menu
I place all ur points on e cultures module already.,ham,place ur point e cultur modul alreadi
URGENT! We are trying to contact you. Last weekends draw shows that you have won a £900 prize GUARANTEED. Call 09061701939. Claim code S89. Valid 12hrs only,spam,urgent tri contact last weekend draw show £900 prize guarante call 09061701939 claim code s89 valid 12hr
"Hi frnd, which is best way to avoid missunderstding wit our beloved one's?",ham,hi frnd best way avoid missunderstd wit belov one
Great escape. I fancy the bridge but needs her lager. See you tomo,ham,great escap fanci bridg need lager see tomo
Yes :)it completely in out of form:)clark also utter waste.,ham,ye complet formclark also utter wast
"Sir, I need AXIS BANK account no and bank address.",ham,sir need axi bank account bank address
"Hmmm.. Thk sure got time to hop ard... Ya, can go 4 free abt... Muz call u to discuss liao...",ham,hmmm thk sure got time hop ard ya go 4 free abt muz call u discuss liao
What time you coming down later?,ham,time come later
"Bloody hell, cant believe you forgot my surname Mr . Ill give u a clue, its spanish and begins with m...",ham,bloodi hell cant believ forgot surnam mr ill give u clue spanish begin
"Well, i'm gonna finish my bath now. Have a good...fine night.",ham,well im gonna finish bath goodfin night
Let me know when you've got the money so carlos can make the call,ham,let know youv got money carlo make call
U still going to the mall?,ham,u still go mall
"Turns out my friends are staying for the whole show and won't be back til ~ &lt;#&gt; , so feel free to go ahead and smoke that $ &lt;#&gt;  worth",ham,turn friend stay whole show wont back til ltgt feel free go ahead smoke ltgt worth
Text her. If she doesnt reply let me know so i can have her log in,ham,text doesnt repli let know log
Hi! You just spoke to MANEESHA V. We'd like to know if you were satisfied with the experience. Reply Toll Free with Yes or No.,ham,hi spoke maneesha v wed like know satisfi experi repli toll free ye
You lifted my hopes with the offer of money. I am in need. Especially when the end of the month approaches and it hurts my studying. Anyways have a gr8 weekend,ham,lift hope offer money need especi end month approach hurt studi anyway gr8 weekend
Lol no. U can trust me.,ham,lol u trust
ok. I am a gentleman and will treat you with dignity and respect.,ham,ok gentleman treat digniti respect
"He will, you guys close?",ham,guy close
Going on nothing great.bye,ham,go noth greatby
Hello handsome ! Are you finding that job ? Not being lazy ? Working towards getting back that net for mummy ? Where's my boytoy now ? Does he miss me ?,ham,hello handsom find job lazi work toward get back net mummi where boytoy miss
"Haha awesome, be there in a minute",ham,haha awesom minut
Please call our customer service representative on FREEPHONE 0808 145 4742 between 9am-11pm as you have WON a guaranteed £1000 cash or £5000 prize!,spam,pleas call custom servic repres freephon 0808 145 4742 9am11pm guarante £1000 cash £5000 prize
Have you got Xmas radio times. If not i will get it now,ham,got xma radio time get
I jus reached home. I go bathe first. But my sis using net tell u when she finishes k...,ham,ju reach home go bath first si use net tell u finish k
Are you unique enough? Find out from 30th August. www.areyouunique.co.uk,spam,uniqu enough find 30th august wwwareyouuniquecouk
I'm sorry. I've joined the league of people that dont keep in touch. You mean a great deal to me. You have been a friend at all times even at great personal cost. Do have a great week.|,ham,im sorri ive join leagu peopl dont keep touch mean great deal friend time even great person cost great week
Hi :)finally i completed the course:),ham,hi final complet cours
It will stop on itself. I however suggest she stays with someone that will be able to give ors for every stool.,ham,stop howev suggest stay someon abl give or everi stool
How are you doing? Hope you've settled in for the new school year. Just wishin you a gr8 day,ham,hope youv settl new school year wishin gr8 day
Gud mrng dear hav a nice day,ham,gud mrng dear hav nice day
Did u got that persons story,ham,u got person stori
is your hamster dead? Hey so tmr i meet you at 1pm orchard mrt?,ham,hamster dead hey tmr meet 1pm orchard mrt
Hi its Kate how is your evening? I hope i can see you tomorrow for a bit but i have to bloody babyjontet! Txt back if u can. :) xxx,ham,hi kate even hope see tomorrow bit bloodi babyjontet txt back u xxx
"Found it, ENC  &lt;#&gt; , where you at?",ham,found enc ltgt
I sent you  &lt;#&gt;  bucks,ham,sent ltgt buck
Hello darlin ive finished college now so txt me when u finish if u can love Kate xxx,ham,hello darlin ive finish colleg txt u finish u love kate xxx
Your account has been refilled successfully by INR  &lt;DECIMAL&gt; . Your KeralaCircle prepaid account balance is Rs  &lt;DECIMAL&gt; . Your Transaction ID is KR &lt;#&gt; .,ham,account refil success inr ltdecimalgt keralacircl prepaid account balanc rs ltdecimalgt transact id kr ltgt
Goodmorning sleeping ga.,ham,goodmorn sleep ga
U call me alter at 11 ok.,ham,u call alter 11 ok
Ü say until like dat i dun buy ericsson oso cannot oredi lar...,ham,ü say like dat dun buy ericsson oso cannot oredi lar
"As I entered my cabin my PA said, '' Happy B'day Boss !!''. I felt special. She askd me 4 lunch. After lunch she invited me to her apartment. We went there.",ham,enter cabin pa said happi bday boss felt special askd 4 lunch lunch invit apart went
"Aight yo, dats straight dogg",ham,aight yo dat straight dogg
You please give us connection today itself before  &lt;DECIMAL&gt;  or refund the bill,ham,pleas give us connect today ltdecimalgt refund bill
Both :) i shoot big loads so get ready!,ham,shoot big load get readi
"What's up bruv, hope you had a great break. Do have a rewarding semester.",ham,what bruv hope great break reward semest
Home so we can always chat,ham,home alway chat
K:)k:)good:)study well.,ham,kkgoodstudi well
Yup... How ü noe leh...,ham,yup ü noe leh
Sounds great! Are you home now?,ham,sound great home
Finally the match heading towards draw as your prediction.,ham,final match head toward draw predict
Tired. I haven't slept well the past few nights.,ham,tire havent slept well past night
Easy ah?sen got selected means its good..,ham,easi ahsen got select mean good
I have to take exam with march 3,ham,take exam march 3
Yeah you should. I think you can use your gt atm now to register. Not sure but if there's anyway i can help let me know. But when you do be sure you are ready.,ham,yeah think use gt atm regist sure there anyway help let know sure readi
Ok no prob. Take ur time.,ham,ok prob take ur time
There is os called ubandu which will run without installing in hard disk...you can use that os to copy the important files in system and give it to repair shop..,ham,os call ubandu run without instal hard diskyou use os copi import file system give repair shop
"Sorry, I'll call later",ham,sorri ill call later
U say leh... Of course nothing happen lar. Not say v romantic jus a bit only lor. I thk e nite scenery not so nice leh.,ham,u say leh cours noth happen lar say v romant ju bit lor thk e nite sceneri nice leh
"500 New Mobiles from 2004, MUST GO! Txt: NOKIA to No: 89545 & collect yours today!From ONLY £1 www.4-tc.biz 2optout 087187262701.50gbp/mtmsg18",spam,500 new mobil 2004 must go txt nokia 89545 collect todayfrom £1 www4tcbiz 2optout 08718726270150gbpmtmsg18
Would really appreciate if you call me. Just need someone to talk to.,ham,would realli appreci call need someon talk
"Will u meet ur dream partner soon? Is ur career off 2 a flyng start? 2 find out free, txt HORO followed by ur star sign, e. g. HORO ARIES",spam,u meet ur dream partner soon ur career 2 flyng start 2 find free txt horo follow ur star sign e g horo ari
Hey company elama po mudyadhu.,ham,hey compani elama po mudyadhu
"Life is more strict than teacher... Bcoz Teacher teaches lesson &amp; then conducts exam, But Life first conducts Exam &amp; then teaches Lessons. Happy morning. . .",ham,life strict teacher bcoz teacher teach lesson amp conduct exam life first conduct exam amp teach lesson happi morn
Dear good morning now only i am up,ham,dear good morn
Get down in gandhipuram and walk to cross cut road. Right side &lt;#&gt; street road and turn at first right.,ham,get gandhipuram walk cross cut road right side ltgt street road turn first right
Dear we are going to our rubber place,ham,dear go rubber place
"Sorry battery died, yeah I'm here",ham,sorri batteri die yeah im
Yes:)here tv is always available in work place..,ham,yesher tv alway avail work place
Text & meet someone sexy today. U can find a date or even flirt its up to U. Join 4 just 10p. REPLY with NAME & AGE eg Sam 25. 18 -msg recd@thirtyeight pence,spam,text meet someon sexi today u find date even flirt u join 4 10p repli name age eg sam 25 18 msg recdthirtyeight penc
